Movie_id,description,duration_minutes,genre,poster_url,rating,release_date,title
1,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",168,Drama,http://dummyimage.com/290x390.png/dddddd/000000,2.1,10/13/2000,Mrs
2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",92,Comedy,http://dummyimage.com/290x390.png/dddddd/000000,6.4,6/19/2015,Honorable
3,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",151,Horror,http://dummyimage.com/290x390.png/dddddd/000000,7.1,7/6/2001,Dr
4,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",134,Action,http://dummyimage.com/290x390.png/ff4444/ffffff,7.0,9/29/2001,Mr
5,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",135,Horror,http://dummyimage.com/290x390.png/ff4444/ffffff,9.7,6/23/2018,Ms
6,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,71,Sci-Fi,http://dummyimage.com/290x390.png/ff4444/ffffff,9.2,3/30/2014,Dr
7,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",123,Action,http://dummyimage.com/290x390.png/5fa2dd/ffffff,3.3,9/21/2012,Mrs
8,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",105,Horror,http://dummyimage.com/290x390.png/dddddd/000000,3.4,4/6/2015,Mrs
9,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",132,Action,http://dummyimage.com/290x390.png/cc0000/ffffff,2.8,12/7/2011,Rev
10,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,137,Comedy,http://dummyimage.com/290x390.png/5fa2dd/ffffff,2.7,10/6/2019,Honorable
11,In congue. Etiam justo. Etiam pretium iaculis justo.,143,Action,http://dummyimage.com/290x390.png/5fa2dd/ffffff,5.4,9/8/2002,Ms
12,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",140,Comedy,http://dummyimage.com/290x390.png/cc0000/ffffff,1.7,10/4/2005,Dr
13,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",154,Comedy,http://dummyimage.com/290x390.png/cc0000/ffffff,3.2,1/10/2017,Mr
14,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",61,Comedy,http://dummyimage.com/290x390.png/cc0000/ffffff,3.4,4/21/2019,Ms
15,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",97,Sci-Fi,http://dummyimage.com/290x390.png/dddddd/000000,9.8,10/9/2003,Honorable
16,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",164,Drama,http://dummyimage.com/290x390.png/cc0000/ffffff,6.2,10/9/2006,Mr
